测点,X,Y,Z
224,200,-5,-990.1307899
225,205,-5,-991.2139277
226,210,-5,-992.2621987
227,215,-5,-993.2773905
228,220,-5,-994.2602945
229,225,-5,-995.2111418
230,230,-5,-996.1297236
231,235,-5,-997.0150953
232,240,-5,-997.8645834
233,245,-5,-998.6712808
234,250,-5,-999.4209972
235,255,-5,-1000.102182
236,260,-5,-1000.724929
237,265,-5,-1001.306259
238,270,-5,-1001.856084
239,275,-5,-1002.379336
240,280,-5,-1002.87883
241,285,-5,-1003.35649
242,290,-5,-1003.813817
243,295,-5,-1004.252091
244,300,-5,-1004.672447
245,305,-5,-1005.075922
246,310,-5,-1005.46347
247,315,-5,-1005.835974
248,320,-5,-1006.194258
249,325,-5,-1006.53909
250,330,-5,-1006.871197
251,335,-5,-1007.191278
252,340,-5,-1007.500025
253,345,-5,-1007.798158
254,350,-5,-1008.086484
255,355,-5,-1008.366002
256,360,-5,-1008.638114
257,365,-5,-1008.905067
258,370,-5,-1009.171003
259,375,-5,-1009.444596
260,380,-5,-1009.745416
261,385,-5,-1010.111095
262,390,-5,-1010.570956
263,395,-5,-1011.100909
264,400,-5,-1011.662073
265,405,-5,-1012.233311
266,410,-5,-1012.805433
267,415,-5,-1013.374293
268,420,-5,-1013.937843
269,425,-5,-1014.494979
270,430,-5,-1015.04504
271,435,-5,-1015.587572
272,440,-5,-1016.12218
273,445,-5,-1016.648409
274,450,-5,-1017.165588
275,455,-5,-1017.672538
276,460,-5,-1018.166921
277,465,-5,-1018.643636
278,470,-5,-1019.090896
279,475,-5,-1019.485211
280,480,-5,-1019.80603
281,485,-5,-1020.06695
282,490,-5,-1020.29396
283,495,-5,-1020.501849
284,500,-5,-1020.697196
285,505,-5,-1020.88307
286,510,-5,-1021.061071
287,-200,0,-874.2962443
288,-195,0,-876.0015495
289,-190,0,-877.7614375
290,-185,0,-879.5874376
291,-180,0,-881.4964563
292,-175,0,-883.4725032
293,-170,0,-885.4827964
294,-165,0,-887.4925436
295,-160,0,-889.4407002
296,-155,0,-890.1400159
297,-150,0,-889.9485359
298,-145,0,-889.4522093
299,-140,0,-888.8781487
300,-135,0,-888.3252865
301,-130,0,-887.8506723
302,-125,0,-887.5066383
303,-120,0,-887.3458715
304,-115,0,-887.4122056
305,-110,0,-887.7268557
306,-105,0,-888.2799771
307,-100,0,-889.042657
308,-95,0,-889.9738355
309,-90,0,-891.044456
310,-85,0,-892.2380644
311,-80,0,-893.5504868
312,-75,0,-894.9889878
313,-70,0,-896.5680866
314,-65,0,-898.3092814
315,-60,0,-900.2349132
316,-55,0,-902.3620815
317,-50,0,-904.6850137
318,-45,0,-907.1425433
319,-40,0,-909.5905313
320,-35,0,-911.8906214
321,-30,0,-914.0073617
322,-25,0,-915.9700211
323,-20,0,-917.829167
324,-15,0,-919.6529749
325,-10,0,-921.5163882
326,-5,0,-923.4659381
327,0,0,-925.4992086
328,5,0,-927.5905802
329,10,0,-929.7269628
330,15,0,-931.9186361
331,20,0,-934.1994539
332,25,0,-936.6184492
333,30,0,-939.2251393
334,35,0,-942.0391421
335,40,0,-945.0180549
336,45,0,-948.0055368
337,50,0,-950.6078321
338,55,0,-952.6526816
339,60,0,-954.377347
340,65,0,-955.898653
341,70,0,-957.3048908
342,75,0,-958.6660912
343,80,0,-960.0506643
344,85,0,-961.5062934
345,90,0,-963.0237383
346,95,0,-964.5415815
347,100,0,-966.0111069
348,105,0,-967.4121183
349,110,0,-968.7455839
350,115,0,-970.0484192
351,120,0,-971.3654427
352,125,0,-972.6676682
353,130,0,-973.9122305
354,135,0,-975.0917247
355,140,0,-976.2087601
356,145,0,-977.269161
357,150,0,-978.2833751
358,155,0,-979.2797423
359,160,0,-980.3706852
360,165,0,-981.647708
361,170,0,-982.9663468
362,175,0,-984.2669169
363,180,0,-985.5383689
364,185,0,-986.7781943
365,190,0,-987.9854937
366,195,0,-989.1586467
367,200,0,-990.291421
368,205,0,-991.3820748
369,210,0,-992.437661
370,215,0,-993.4604315
371,220,0,-994.4509776
372,225,0,-995.4096212
373,230,0,-996.3366083
374,235,0,-997.2320054
375,240,0,-998.0951554
376,245,0,-998.9220687
377,250,0,-999.6903921
378,255,0,-1000.356536
379,260,0,-1000.956931
380,265,0,-1001.522947
381,270,0,-1002.06201
382,275,0,-1002.576886
383,280,0,-1003.069289
384,285,0,-1003.540594
385,290,0,-1003.992024
386,295,0,-1004.42471
387,300,0,-1004.839708
388,305,0,-1005.238008
389,310,0,-1005.620528
390,315,0,-1005.988121
391,320,0,-1006.341571
392,325,0,-1006.681594
393,330,0,-1007.008848
394,335,0,-1007.32393
395,340,0,-1007.627389
396,345,0,-1007.919739
397,350,0,-1008.201475
398,355,0,-1008.473109
399,360,0,-1008.73524
400,365,0,-1008.988703
401,370,0,-1009.234992
402,375,0,-1009.477714
403,380,0,-1009.729426
404,385,0,-1010.050609
405,390,0,-1010.547682
406,395,0,-1011.128236
407,400,0,-1011.721407
408,405,0,-1012.312592
409,410,0,-1012.898025
410,415,0,-1013.476415
411,420,0,-1014.047246
412,425,0,-1014.610301
413,430,0,-1015.165497
414,435,0,-1015.712806
415,440,0,-1016.252224
416,445,0,-1016.783727
417,450,0,-1017.307232
418,455,0,-1017.8225
419,460,0,-1018.328877
420,465,0,-1018.824441
421,470,0,-1019.302059
422,475,0,-1019.726651
423,480,0,-1020.025698
424,485,0,-1020.251955
425,490,0,-1020.456321
426,495,0,-1020.649709
427,500,0,-1020.835041
428,505,0,-1021.013459
429,510,0,-1021.185552
430,-200,5,-874.131651
431,-195,5,-875.8861287
432,-190,5,-877.670866
433,-185,5,-879.493452
434,-180,5,-881.3898635
435,-175,5,-883.3310312
436,-170,5,-885.2842548
437,-165,5,-887.2040001
438,-160,5,-888.9294272
439,-155,5,-889.9980715
440,-150,5,-889.6904932
441,-145,5,-888.9712187
442,-140,5,-888.2260852
443,-135,5,-887.5108017
444,-130,5,-886.8708482
445,-125,5,-886.3645448
446,-120,5,-886.0652981
447,-115,5,-886.0448813
448,-110,5,-886.3364777
449,-105,5,-886.910954
450,-100,5,-887.7105395
451,-95,5,-888.6734569
452,-90,5,-889.7584421
453,-85,5,-890.9467988
454,-80,5,-892.2371883
455,-75,5,-893.6424764
456,-70,5,-895.1871067
457,-65,5,-896.9068612
458,-60,5,-898.842531
459,-55,5,-901.0330475
460,-50,5,-903.4875445
461,-45,5,-906.1345587
462,-40,5,-908.7849177
463,-35,5,-911.2216922
464,-30,5,-913.4091154
465,-25,5,-915.3700215
466,-20,5,-917.1781334
467,-15,5,-918.9384187
468,-10,5,-920.7526028
469,-5,5,-922.6682772
470,0,5,-924.6679248
471,5,5,-926.7116714
472,10,5,-928.7765083
473,15,5,-930.8730958
474,20,5,-933.0462981
475,25,5,-935.3696046
476,30,5,-937.9273978
477,35,5,-940.7734005
478,40,5,-943.866029
479,45,5,-946.9983426
480,50,5,-949.8322045
481,55,5,-952.1429358
482,60,5,-953.9763517
483,65,5,-955.5159541
484,70,5,-956.9214896
485,75,5,-958.2967295
486,80,5,-959.7132485
487,85,5,-961.2332064
488,90,5,-962.8272741
489,95,5,-964.4165019
490,100,5,-965.9462164
491,105,5,-967.3924048
492,110,5,-968.7542209
493,115,5,-970.0536678
494,120,5,-971.4146806
495,125,5,-972.7394564
496,130,5,-973.9959479
497,135,5,-975.1804663
498,140,5,-976.2967685
499,145,5,-977.3499751
500,150,5,-978.3442367
501,155,5,-979.2873751
502,160,5,-980.2937455
503,165,5,-981.6842635
504,170,5,-983.0389885
505,175,5,-984.3575832
506,180,5,-985.6417139
507,185,5,-986.8924856
508,190,5,-988.1104954
509,195,5,-989.2959508
510,200,5,-990.439003
511,205,5,-991.5336711
512,210,5,-992.5955758
513,215,5,-993.6247489
514,220,5,-994.6212859
515,225,5,-995.5854206
516,230,5,-996.5175371
517,235,5,-997.4181686
518,240,5,-998.2879833
519,245,5,-999.1277349
520,250,5,-999.9362761
521,255,5,-1000.565539
522,260,5,-1001.149568
523,265,5,-1001.707702
524,270,5,-1002.241221
525,275,5,-1002.751355
526,280,5,-1003.23933
527,285,5,-1003.706352
528,290,5,-1004.153596
529,295,5,-1004.582193
530,300,5,-1004.99322
531,305,5,-1005.387689
532,310,5,-1005.766541
533,315,5,-1006.130644
534,320,5,-1006.480788
535,325,5,-1006.817686
536,330,5,-1007.141977
537,335,5,-1007.454228
538,340,5,-1007.754936
539,345,5,-1008.04454
540,350,5,-1008.323418
541,355,5,-1008.5919
542,360,5,-1008.850271
543,365,5,-1009.09878
544,370,5,-1009.337649
545,375,5,-1009.567093
546,380,5,-1009.787418
547,385,5,-1010.00617
548,390,5,-1010.598742
549,395,5,-1011.214261
550,400,5,-1011.821211
551,405,5,-1012.419515
552,410,5,-1013.00924
553,415,5,-1013.59048
554,420,5,-1014.163337
555,425,5,-1014.727915
556,430,5,-1015.284326
557,435,5,-1015.832685
558,440,5,-1016.37311
559,445,5,-1016.905725
560,450,5,-1017.430659
561,455,5,-1017.948043
562,460,5,-1018.45801
563,465,5,-1018.960687
564,470,5,-1019.456145
565,475,5,-1019.942304
566,480,5,-1020.186992
567,485,5,-1020.386966
568,490,5,-1020.580283
569,495,5,-1020.767243
570,500,5,-1020.948036
571,505,5,-1021.122838
572,510,5,-1021.291823
573,-200,10,-874.2267916
574,-195,10,-875.9179441
575,-190,10,-877.6535173
576,-185,10,-879.4261537
577,-180,10,-881.2357595
578,-175,10,-883.0591296
579,-170,10,-884.8521235
